gcDNA Statistics

Total number of gcDNA of size greater then 20 is 708
Each gcDNA is seen a total of 1.0 times in the dataset for gcDNA greater then 20  bp's (708 sequences)
The std deviation of the distribution of sequences seen is 1.3
The median of the distribution of sequenes seen is 1
The mode of the distribution of sequenes seen is 1

The mean gcDNA size is 70.8
The median gcDNA size is 59.0
The mode gcDNA size is 44.0
The stdev of the gcDNA size is 31.5
This includes data between the values of 20 and 146

The following is the number of similar sequences found per sequenced gcDNA:

SEQUENCE_NAME	NUMBER_SEEN
MicroDiv_TO2106042_B09_gRNA_bandII_039_ab1	1
MicroDiv_TO2106042_B10_gRNA_bandII_039_ab1	1
MicroDiv_TO2106042_B11_gRNA_bandII_047_ab1	1
MicroDiv_TO2106042_B12_gRNA_bandII_047_ab1	1
MicroDiv_TO2106042_C01_gRNA_bandII_006_ab1	1
MicroDiv_TO2106042_C02_gRNA_bandII_006_ab1	1
MicroDiv_TO2106042_C03_gRNA_bandII_014_ab1	1
MicroDiv_TO2106042_C05_gRNA_bandII_022_ab1	1
MicroDiv_TO2106042_C07_gRNA_bandII_030_ab1	3
MicroDiv_TO2106042_C08_gRNA_bandII_030_ab1	2
MicroDiv_TO2106042_C09_gRNA_bandII_038_ab1	1
MicroDiv_TO2106042_C10_gRNA_bandII_038_ab1	1
MicroDiv_TO2106042_C11_gRNA_bandII_046_ab1	1
MicroDiv_TO2106042_C12_gRNA_bandII_046_ab1	1
MicroDiv_TO2106042_D02_gRNA_bandII_005_ab1	1
MicroDiv_TO2106042_D06_gRNA_bandII_021_ab1	1
MicroDiv_TO2106042_D07_gRNA_bandII_029_ab1	1
MicroDiv_TO2106042_D08_gRNA_bandII_029_ab1	1
MicroDiv_TO2106042_D09_gRNA_bandII_037_ab1	1
MicroDiv_TO2106042_D10_gRNA_bandII_037_ab1	6
MicroDiv_TO2106042_D12_gRNA_bandII_045_ab1	1
MicroDiv_TO2106042_E01_gRNA_bandII_004_ab1	1
MicroDiv_TO2106042_E02_gRNA_bandII_004_ab1	6
MicroDiv_TO2106042_E03_gRNA_bandII_012_ab1	1
MicroDiv_TO2106042_E04_gRNA_bandII_012_ab1	1
MicroDiv_TO2106042_E06_gRNA_bandII_020_ab1	1
MicroDiv_TO2106042_E07_gRNA_bandII_028_ab1	1
MicroDiv_TO2106042_E11_gRNA_bandII_044_ab1	1
MicroDiv_TO2106042_E12_gRNA_bandII_044_ab1	1
MicroDiv_TO2106042_F01_gRNA_bandII_003_ab1	1
MicroDiv_TO2106042_F02_gRNA_bandII_003_ab1	6
MicroDiv_TO2106042_F03_gRNA_bandII_011_ab1	1
MicroDiv_TO2106042_F04_gRNA_bandII_011_ab1	1
MicroDiv_TO2106042_F05_gRNA_bandII_019_ab1	1
MicroDiv_TO2106042_F07_gRNA_bandII_027_ab1	1
MicroDiv_TO2106042_F09_gRNA_bandII_035_ab1	1
MicroDiv_TO2106042_F11_gRNA_bandII_043_ab1	1
MicroDiv_TO2106042_G01_gRNA_bandII_002_ab1	1
MicroDiv_TO2106042_G03_gRNA_bandII_010_ab1	1
MicroDiv_TO2106042_G04_gRNA_bandII_010_ab1	1
MicroDiv_TO2106042_G06_gRNA_bandII_018_ab1	1
MicroDiv_TO2106042_G07_gRNA_bandII_026_ab1	1
MicroDiv_TO2106042_G08_gRNA_bandII_026_ab1	1
MicroDiv_TO2106042_G09_gRNA_bandII_034_ab1	1
MicroDiv_TO2106042_G10_gRNA_bandII_034_ab1	6
MicroDiv_TO2106042_G12_gRNA_bandII_042_ab1	9
MicroDiv_TO2106042_H01_gRNA_bandII_001_ab1	1
MicroDiv_TO2106042_H04_gRNA_bandII_009_ab1	1
MicroDiv_TO2106042_H08_gRNA_bandII_025_ab1	1
MicroDiv_TO2106042_H10_gRNA_bandII_033_ab1	1
MicroDiv_TO2106042_H11_gRNA_bandII_041_ab1	3
to0629062A02	0
to0629062A03	0
to0629062A09	0
to0629062A10	0
to0629062A11	0
to0629062A12	0
to0629062B01	0
to0629062B03	0
to0629062B04	0
to0629062B05	0
to0629062B07	0
to0629062B08	0
to0629062B09	0
to0629062B10	0
to0629062B12	0
to0629062C02	0
to0629062C03	0
to0629062C06	0
to0629062C08	0
to0629062C10	0
to0629062C11	0
to0629062C12	0
to0629062D01	0
to0629062D02	0
to0629062D05	0
to0629062D06	0
to0629062D07	0
to0629062D08	0
to0629062D09	0
to0629062D10	0
to0629062D11	0
to0629062D12	0
to0629062E01	0
to0629062E03	0
to0629062E04	0
to0629062E05	0
to0629062E06	0
to0629062E07	0
to0629062E08	0
to0629062E09	0
to0629062E11	0
to0629062E12	0
to0629062F02	0
to0629062F04	0
to0629062F05	0
to0629062F06	0
to0629062F07	0
to0629062F08	0
to0629062F09	0
to0629062F10	0
to0629062F11	0
to0629062F12	0
to0629062G01	0
to0629062G04	0
to0629062G05	0
to0629062G08	0
to0629062G10	0
to0629062H01	0
to0629062H02	0
to0629062H03	0
to0629062H04	0
to0629062H05	0
to0629062H06	0
to0629062H07	0
to0629062H10	0
to0629062H11	0
to0629062H12	0
to0629063A01	0
to0629063A10	0
to0629063A11	0
to0629063A12	0
to0629063B01	0
to0629063B02	0
to0629063B03	0
to0629063B04	0
to0629063B05	0
to0629063B06	0
to0629063B08	0
to0629063B11	0
to0629063B12	0
to0629063C01	0
to0629063C02	0
to0629063C04	0
to0629063C05	0
to0629063C06	0
to0629063C08	0
to0629063C10	0
to0629063C11	0
to0629063D01	0
to0629063D02	0
to0629063D05	0
to0629063D06	0
to0629063D07	0
to0629063D08	0
to0629063D09	0
to0629063D10	0
to0629063D12	0
to0629063E01	0
to0629063E02	0
to0629063E03	0
to0629063E06	0
to0629063E07	0
to0629063E09	0
to0629063E10	0
to0629063E12	0
to0629063F01	0
to0629063F04	0
to0629063F05	0
to0629063F06	0
to0629063F07	0
to0629063F08	0
to0629063F09	0
to0629063F11	0
to0629063G02	0
to0629063H01	0
to0629063H02	0
to0629063H03	0
to0629063H04	0
to0629063H05	0
to0629063H06	0
to0629063H07	0
to0629063H08	0
to0629063H10	0
to0629063H11	0
to0629063H12	0
to2906064A01	0
to2906064A03	0
to2906064A04	0
to2906064A06	0
to2906064A07	0
to2906064A10	0
to2906064B01	0
to2906064B02	0
to2906064B03	0
to2906064B05	0
to2906064B06	0
to2906064B10	0
to2906064B11	0
to2906064B12	1
to2906064C01	0
to2906064C03	0
to2906064C04	0
to2906064C06	0
to2906064C07	0
to2906064C10	0
to2906064D01	0
to2906064D03	0
to2906064D06	0
to2906064D07	0
to2906064D09	0
to2906064D10	0
to2906064D11	0
to2906064E01	0
to2906064E03	0
to2906064E04	0
to2906064E06	0
to2906064E07	0
to2906064E08	0
to2906064E09	0
to2906064E11	0
to2906064F01	0
to2906064F02	0
to2906064F03	0
to2906064F04	0
to2906064F05	0
to2906064F07	0
to2906064F08	0
to2906064F09	0
to2906064F10	0
to2906064F11	0
to2906064F12	0
to2906064G01	0
to2906064G02	0
to2906064G03	0
to2906064G07	0
to2906064G08	0
to2906064G09	0
to2906064G11	0
to2906064H01	0
to2906064H04	0
to2906064H07	0
to2906064H08	0
to2906064H09	0
to2906064H10	0
to2906064H11	0
to2906064H12	0
to2906065A02	0
to2906065A03	0
to2906065A05	0
to2906065A06	0
to2906065A08	0
to2906065A09	0
to2906065A10	0
to2906065A12	0
to2906065B01	0
to2906065B02	0
to2906065B03	0
to2906065B04	0
to2906065B05	0
to2906065B06	0
to2906065B07	0
to2906065B08	0
to2906065B09	0
to2906065B10	0
to2906065B12	0
to2906065C01	0
to2906065C02	0
to2906065C03	0
to2906065C05	0
to2906065C07	0
to2906065C08	0
to2906065C09	0
to2906065C11	0
to2906065C12	0
to2906065D01	0
to2906065D05	0
to2906065D07	0
to2906065D09	0
to2906065D10	0
to2906065D12	0
to2906065E01	0
to2906065E03	0
to2906065E06	0
to2906065E07	0
to2906065E09	0
to2906065E11	0
to2906065F03	0
to2906065F04	0
to2906065F05	0
to2906065F06	0
to2906065F08	0
to2906065F09	0
to2906065F10	0
to2906065F12	0
to2906065G01	0
to2906065G03	0
to2906065G04	0
to2906065G06	0
to2906065G07	0
to2906065G08	0
to2906065G10	0
to2906065G11	0
to2906065G12	0
to2906065H03	0
to2906065H05	0
to2906065H06	0
to2906065H07	0
to2906065H08	0
to2906065H09	0
to2906065H11	0
to2906065H12	0
T_brucei_gCR1_232__ND8	1
T_brucei_gCR1_219__ND8	1
T_brucei_gCR1_205__ND8	1
T_brucei_Tb2_ND8	1
T_brucei_Tb3_ND8	1
T_brucei_Tb4_ND8	1
T_equiperdum_gCOIII_311_ND8	1
L_tarentolae_gCOIII_II_ND8	1
L_tarentolae_gCOIII_I_ND8	1
L_tarentolae_gCOIII_I_g30__ND8	3
L_tarentolae_gCOIII_I_g39__ND8	3
T_brucei_gCYb_560A__Cyb	3
T_brucei_gCYb_560B__Cyb	3
T_brucei_gCYb_560C__Cyb	3
T_brucei_gCYb_558__Cyb	1
L_tarentolae_gCYb_II_Cyb	1
L_tarentolae_gCYb_I_Cyb	1
C_fasciculata_CYb_II_Cyb	1
C_fasciculata_CYb_I_Cyb	1
Trypanoplasmaborreli_g043_Cyb	1
T_brucei_gA6_258__A6	1
T_brucei_gA6_149__A6	1
T_brucei_gA6_138A__A6	1
T_brucei_gA6_138B__A6	1
T_brucei_gA6_111__A6	1
T_brucei_gA6_97__A6	1
T_brucei_gA6_92__A6	1
T_brucei_gA6_51__A6	1
T_brucei_gA6_48__A6	1
T_brucei_gA6_14__A6	1
T_cruzi_gS153_A6	1
T_cruzi_gS270_A6	1
T_cruzi_SVR17_A6	1
T_cruzi_gS27_A6	1
T_cruzi_SVR104_A6	1
T_cruzi_AVR_A6	1
T_cruzi_gS156_A6	1
T_cruzi_SVR118_1_A6	2
T_cruzi_gS203_A6	1
T_cruzi_gS111_A6	2
T_cruzi_gC15_A6	1
T_cruzi_SVR61_A6	1
T_cruzi_gC33_A6	1
T_cruzi_SVR89_A6	1
T_cruzi_CVR64_A6	1
T_cruzi_gS142_A6	1
T_cruzi_gS205_A6	1
T_cruzi_gC17_A6	1
T_cruzi_gS87a_A6	2
T_cruzi_gS31a_A6	2
T_cruzi_gC103_A6	1
T_cruzi_gC104_A6	1
T_cruzi_gS06_A6	1
T_cruzi_gS40a_A6	2
T_cruzi_gC28_A6	1
T_cruzi_SVR35_A6	1
T_cruzi_CVR28_A6	1
T_cruzi_SVR205_A6	1
T_cruzi_SVR40_A6	2
T_cruzi_SVR77_A6	2
T_cruzi_SVR87_A6	2
T_cruzi_SVR31_A6	2
T_cruzi_SVR118_2_A6	2
T_equiperdum_gA6_223__A6	1
L_tarentolae_gMURF4_VI_A6	1
L_tarentolae_gMURF4_V_A6	1
L_tarentolae_gMURF4_IV_A6	1
L_tarentolae_gMURF4_III_A6	1
L_tarentolae_gMURF4_II_A6	1
L_tarentolae_gMURF4_I_gA6_I__A6	5
L_tarentolae_gA6_I_g11_g18__A6	5
L_tarentolae_gA6_I_g14__A6	5
L_tarentolae_gA6_I_g17__A6	4
L_tarentolae_gA6_I_g47__A6	5
L_gymnodactyli_gGR20_A6	2
C_fasciculata_Cfg39_A6	1
C_fasciculata_Cfg36_A6	1
T_brucei_gCR3_73A__CR3	1
T_brucei_gCR3_73B__CR3	1
T_brucei_gCR3_73C__CR3	1
L_tarentolae_gG3_III_CR3	1
L_tarentolae_gG3_II_CR3	1
T_brucei_gCOII_FS__COII	1
L_tarentolae_gCOII_FS__COII	1
C_fasciculata_gCOII_COII	1
Bodosaltans_gCox2_COII	1
T_brucei_MURF2_II_MURF2	1
T_brucei_MURF2_I_MURF2	1
L_tarentolae_MURF2_II_MURF2	1
L_tarentolae_MURF2_I_MURF2	1
C_fasciculata_MURF2_II_MURF2	1
C_fasciculata_MURF2_I_MURF2	1
Bodosaltans_MURF2_MURF2	1
Trypanoplasmaborreli_g085_COI	1
Trypanoplasmaborreli_g040_COI	1
Trypanoplasmaborreli_g034_COI	1
T_brucei_gCR4_148__CR4	1
T_brucei_gCR4_39__CR4	2
L_tarentolae_gG4_XIV_CR4	3
L_tarentolae_gG4_XIV_g191__CR4	2
L_tarentolae_gG4_XIV_g273__CR4	1
L_tarentolae_gG4_X_CR4	1
L_tarentolae_gG4_IX_CR4	1
L_tarentolae_gG4_VIII_CR4	1
L_tarentolae_gG4_VIII_g236_g286__CR4	2
L_tarentolae_gG4_VI_CR4	1
L_tarentolae_gG4_V_CR4	2
L_tarentolae_gG4_V_g07_g320__CR4	1
L_tarentolae_gG4_IV_CR4	1
L_tarentolae_gG4_III_CR4	4
L_tarentolae_gG4_III_gG4_IIIa__CR4	3
L_tarentolae_gG4_III_gG4_IIIb__CR4	3
L_tarentolae_gG4_III_gG4_IIIc__CR4	4
L_tarentolae_gG4_III_g232__CR4	3
L_tarentolae_gG4_II_CR4	4
L_tarentolae_gG4_II_g280__CR4	2
L_tarentolae_gG4_II_g340__CR4	3
L_tarentolae_gG4_II_g363__CR4	2
L_tarentolae_gG4_I_CR4	1
T_brucei_gCR5_116__ND3	1
T_brucei_gCR5_75__ND3	1
T_brucei_gCR5_29__ND3	1
T_equiperdum_gCR5_114__ND3	1
L_tarentolae_gND3_IX_ND3	1
L_tarentolae_gND3_VII_ND3	1
L_tarentolae_gND3_V_ND3	1
L_tarentolae_gND3_IIIa_ND3	1
L_tarentolae_gND3_IIIb_ND3	1
L_tarentolae_gND3_II_ND3	3
L_tarentolae_gND3_II_g34_g44_g151_g152_g203__ND3	1
L_tarentolae_gND3_II_g241__ND3	2
L_tarentolae_gND3_I_ND3	1
L_tropica_gND3_ND3	1
T_brucei_gCR6_100__RPS12	1
T_brucei_gCR6_64__RPS12	1
L_tarentolae_gRPS12_VIII_RPS12	3
L_tarentolae_gRPS12_VIII_g21__RPS12	3
L_tarentolae_gRPS12_VIII_g25__RPS12	3
L_tarentolae_gRPS12_VII_RPS12	1
L_tarentolae_gRPS12_VI_RPS12	1
L_tarentolae_gRPS12_V_RPS12	1
L_tarentolae_gRPS12_IV_RPS12	1
L_tarentolae_gRPS12_III_RPS12	1
L_tarentolae_gRPS12_II_g31_g38__RPS12	1
L_tarentolae_gRPS12_II_g26__RPS12	1
L_tarentolae_gRPS12_I_RPS12	1
L_infantum_g10543_RPS12	1
C_fasciculata_Cfg26_RPS12	1
C_fasciculata_Cfg28_RPS12	1
C_fasciculata_Cfg14_RPS12	1
Phytomonasserpens_gRPS12_II_RPS12	1
Phytomonasserpens_gRPS12_I_RPS12	1
Trypanoplasmaborreli_g009_RPS12	1
T_cruzi_Sylvio_NID	1
T_cruzi_AWP_NID	1
T_equiperdum_Te2_NID	2
L_tarentolae_gM150_NID	1
